Generation,Best Fitness,Average Fitness
1,154.92,-164.57
2,155.12,-139.44
3,656.00,-117.11
4,2256.00,-46.87
5,2256.00,-33.89
6,1406.00,-43.66
7,956.00,-52.87
8,12056.33,166.88
9,502.98,-114.25
10,1056.00,-53.08
11,1806.00,-31.88
12,9756.00,420.15
13,8006.09,70.98
14,405.33,-30.78
15,1752.84,-36.74
16,9206.10,134.04
17,7105.94,90.09
18,605.18,-52.67
19,9005.90,114.35
20,204.39,-62.80
21,1906.01,-13.51
22,6505.94,112.41
23,7006.02,110.23
24,5756.02,164.23
25,6506.01,322.93
26,756.00,91.94
27,8856.05,543.51
28,806.00,530.69
29,806.00,583.96
30,8256.04,686.69
31,806.00,533.68
32,806.00,596.12
33,806.00,636.16
34,6906.00,763.23
35,756.00,491.69
36,806.00,615.10
37,11656.12,830.10
38,11656.24,909.83
39,806.00,569.94
40,806.00,566.85
41,806.00,652.24
42,806.00,636.16
43,806.00,687.57
44,756.00,582.27
45,806.00,693.43
46,806.00,726.76
47,806.00,630.22
48,806.00,666.41
49,806.00,638.18
50,856.00,667.34
51,5956.04,836.25
52,6006.03,1227.07
53,5906.00,2176.44
54,5206.00,3436.86
55,8056.00,4554.58
56,11906.20,4217.83
57,5156.00,2855.55
58,5006.00,3752.05
59,5656.02,4540.19
60,5956.01,4377.75
61,5956.00,4396.00
62,5956.00,4943.41
63,4606.00,3564.04
64,5556.02,4276.00
65,5756.02,4347.24
66,5206.00,4355.35
67,4806.00,3927.39
68,11706.10,4867.20
69,5956.03,4472.98
70,11856.09,4499.01
71,5856.05,3955.72
72,5956.01,4869.31
73,6355.99,5114.40
74,6205.99,5491.67
75,6256.02,4663.03
76,6156.00,5260.47
77,6156.01,5180.53
78,6155.97,5312.47
79,6206.02,4554.74
80,9456.06,4946.22
81,9156.04,5530.15
82,9306.02,7285.51
83,9506.00,8060.57
84,9156.05,8040.48
85,11956.07,7175.18
86,11856.04,8918.62
87,11906.09,7669.17
88,11906.05,9707.47
89,12006.13,8633.07
90,11906.10,9984.37
91,11906.07,10184.50
92,11856.07,9286.14
93,11856.04,10664.66
94,11956.04,10022.33
95,11956.06,9848.39
96,11956.07,9781.27
97,11856.12,8648.02
98,11856.09,10219.44
99,11956.05,9744.26
100,11956.10,9068.01
